ID	RESISTANCE
P01_WA01	1
P01_WB01	1
P01_WC01	1
P01_WD01	1
P01_WE01	1
P01_WF01	1
P01_WG01	1
P01_WH01	1
P01_WA02	1
P01_WB02	1
P01_WC02	1
P01_WD02	1
P01_WE02	1
P01_WF02	1
P01_WG02	1
P01_WH02	1
P01_WA03	1
P01_WB03	1
P01_WC03	1
P01_WD03	1
P01_WE03	1
P01_WF03	1
P01_WG03	1
P01_WH03	1
P01_WA04	1
P01_WB04	1
P01_WC04	1
P01_WD04	1
P01_WE04	1
P01_WF04	1
P01_WG04	1
P01_WH04	1
P01_WA05	1
P01_WB05	1
P01_WC05	1
P01_WD05	1
P01_WE05	1
P01_WF05	1
P01_WG05	1
P01_WH05	1
P01_WA06	1
P01_WB06	1
P01_WC06	1
P01_WD06	1
P01_WE06	1
P01_WF06	1
P01_WG06	1
P01_WH06	1
P01_WA07	1
P01_WB07	1
P01_WC07	1
P01_WD07	1
P01_WE07	1
P01_WF07	1
P01_WG07	1
P01_WH07	1
P01_WA08	1
P01_WB08	1
P01_WC08	1
P01_WD08	1
P01_WE08	1
P01_WF08	1
P01_WG08	1
P01_WH08	1
P01_WA09	1
P01_WB09	1
P01_WC09	1
P01_WD09	1
P01_WE09	1
P01_WF09	1
P01_WG09	1
P01_WH09	1
P01_WA10	1
P01_WB10	1
P01_WC10	1
P01_WD10	1
P01_WE10	1
P01_WF10	1
P01_WG10	1
P01_WH10	1
P01_WA11	1
P01_WB11	1
P01_WC11	1
P01_WD11	1
P01_WE11	1
P01_WF11	1
P01_WG11	1
P01_WH11	1
P01_WA12	1
P01_WB12	1
P01_WC12	1
P01_WD12	1
P01_WE12	1
P01_WF12	1
P01_WG12	1
P01_WH12	1
P02_WA01	1
P02_WB01	1
P02_WC01	1
P02_WD01	1
P02_WE01	1
P02_WF01	1
P02_WG01	1
P02_WH01	1
P02_WA02	1
P02_WB02	1
P02_WC02	1
P02_WD02	1
P02_WE02	1
P02_WF02	1
P02_WG02	1
P02_WH02	1
P02_WA03	1
P02_WB03	1
P02_WC03	1
P02_WD03	1
P02_WE03	1
P02_WF03	1
P02_WG03	1
P02_WH03	1
P02_WA04	1
P02_WB04	1
P02_WC04	1
P02_WD04	1
P02_WE04	1
P02_WF04	1
P02_WG04	1
P02_WH04	1
P02_WA05	1
P02_WB05	1
P02_WC05	1
P02_WD05	1
P02_WE05	1
P02_WF05	1
P02_WG05	1
P02_WH05	1
P02_WA06	1
P02_WB06	1
P02_WC06	1
P02_WD06	1
P02_WE06	1
P02_WF06	1
P02_WG06	1
P02_WH06	1
P03_WA01	0
P03_WB01	0
P03_WC01	0
P03_WD01	0
P03_WE01	0
P03_WF01	0
P03_WG01	0
P03_WH01	0
P03_WA02	0
P03_WB02	0
P03_WC02	0
P03_WD02	0
P03_WE02	0
P03_WF02	0
P03_WG02	0
P03_WH02	0
P03_WA03	0
P03_WB03	0
P03_WC03	0
P03_WD03	0
P03_WE03	0
P03_WF03	0
P03_WG03	0
P03_WH03	0
P03_WA04	0
P03_WB04	0
P03_WC04	0
P03_WD04	0
P03_WE04	0
P03_WF04	0
P03_WG04	0
P03_WH04	0
P03_WA05	0
P03_WB05	0
P03_WC05	0
P03_WD05	0
P03_WE05	0
P03_WF05	0
P03_WG05	0
P03_WH05	0
P03_WA06	0
P03_WB06	0
P03_WC06	0
P03_WD06	0
P03_WE06	0
P03_WF06	0
P03_WG06	0
P03_WH06	0
P03_WA07	0
P03_WB07	0
P03_WC07	0
P03_WD07	0
P03_WE07	0
P03_WF07	0
P03_WG07	0
P03_WH07	0
P03_WA08	0
P03_WB08	0
P03_WC08	0
P03_WD08	0
P03_WE08	0
P03_WF08	0
P03_WG08	0
P03_WH08	0
P03_WA09	0
P03_WB09	0
P03_WC09	0
P03_WD09	0
P03_WE09	0
P03_WF09	0
P03_WG09	0
P03_WH09	0
P03_WA10	0
P03_WB10	0
P03_WC10	0
P03_WD10	0
P03_WE10	0
P03_WF10	0
P03_WG10	0
P03_WH10	0
P03_WA11	0
P03_WB11	0
P03_WC11	0
P03_WD11	0
P03_WE11	0
P03_WF11	0
P03_WG11	0
P03_WH11	0
P03_WA12	0
P03_WB12	0
P03_WC12	0
P03_WD12	0
P03_WE12	0
P03_WF12	0
P03_WG12	0
P03_WH12	0
P04_WA01	0
P04_WB01	0
P04_WC01	0
P04_WD01	0
P04_WE01	0
P04_WF01	0
P04_WG01	0
P04_WH01	0
P04_WA02	0
P04_WB02	0
P04_WC02	0
P04_WD02	0
P04_WE02	0
P04_WF02	0
P04_WG02	0
P04_WH02	0
P04_WA03	0
P04_WB03	0
P04_WC03	0
P04_WD03	0
P04_WE03	0
P04_WF03	0
P04_WG03	0
P04_WH03	0
P04_WA04	0
P04_WB04	0
P04_WC04	0
P04_WD04	0
P04_WE04	0
P04_WF04	0
P04_WG04	0
P04_WH04	0
P04_WA05	0
P04_WB05	0
P04_WC05	0
P04_WD05	0
P04_WE05	0
P04_WF05	0
P04_WG05	0
P04_WH05	0
P04_WA06	0
P04_WB06	0
P04_WC06	0
P04_WD06	0
P04_WE06	0
P04_WF06	0
P04_WG06	0
P04_WH06	0
P04_WA07	0
P04_WB07	0
P04_WC07	0
P04_WD07	0
