#File S7: MergeMap consensus genetic map for Pinus taeda and Pinus elliottii with genomic sequence alignments and predicted genes functions based on transcript alignments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#Legend: MergeMarkerID - identifier of marker used in input maps to allow consensus map merging, GeneSeqID - identifier used in alignment analysis of a marker's sequence (see File S5), LG - linkage group, LG_pos_cM - centiMorgan position of the locus in the linkage group, Pos_lCI - cM position of the lower bound of locus 95% confidence interval, Pos_uCI - cM position of the upper bound of locus 95% CI, Delta_CIbounds - cM difference between upper and lower 95% CI, MarkerID - identifier for the specific marker allele mapped in a contributing input map, Marker_type - type of allele segregating for the locus (SNP - single nucleotide polymorphism; RFLP - restriction fragment length polymorphism; PAV - presence-absence variant; SSR - simple sequence repeat; estSSR - SSR from an expressed sequence tag; ESTP - expressed sequence tag polymorphism), Seg_qtl-base1 - the present or absent in the qtl-base1 map, Seg_qtl-base2 - present or absent in the qtl-base2 map, Seg_BC1 - present or absent in the BC1 map, Seg_10-5 - present (1) or absent (0) in the 10-5 map, Aligned_scaff_ID - scaffold or contig identifier of Pinus taeda RefSeq assembly v1.01, Aligned_genome_coord - start position..stop position for the best alignment  of the scaffold_ID with the marker GeneSeqID, Genome_pct_aligned - percent nucleotide sequence aligned length between the marker and P. taeda genome sequence, Genome_pct_ID - percent nucleotide sequence identity between the marker and aligned P. taeda genome sequence, Aligned_transcript(Accession_Pending) - predicted full-length Pinus taeda trascript ID - not yet assigned pending publication by Mockaitis et al., ESTvTr_pctID - percent nucleotide sequence identity between the EST marker and transcript, ESTvTr_alignlen - nucleotide length of alignment between the EST marker and transcript, ESTvTr_evalue - E-value of alignment between the EST marker and transcript, ESTvTr_bitscore - Bitscore of alignment between the EST marker and transcript, Aligned_CDD -  NCBI Conserved Domain Database accessionID assigned to the transcript, CDD_desc - description of the protein domain from the NCBI Conserved domain database, Tr_CDD_pctID - percent sequence identity between the transcript and the domain from the NCBI CDD, Tr_CDD_alignlen - length of alignment between the transcript and the domain  , Tr_CDD_evalue - E-value of alignment between the transcript and the domain, Tr_CDD_bitscore - Bitscore of alignment between the transcript and the domain, Aligned_AGI_prot - TAIR accession ID of the Arabidosis AGI map gene model with the highest amino acid sequence identity with the assigned translated P. taeda transcript, Prot_desc - description of the protein function of the TAIR gene model, Tr_AGI_pctID - percent amino acid sequence identity between the Arabidopsis and P. taeda proteins, Tr_AGI_alignlen - length of alignment between Arabidopsis and P. taeda transcripts, Tr_AGI_evalue - E-value of alignment between Arabidopsis and P.taeda transcripts, Tr_AGI_bitscore - Bitscore of alignment between Arabidopsis and P.taeda transcripts, MarkerAcc - NCBI/GenBank accession number for the marker sequence or for the best blastn match to the marker sequence, NP - the gene is reported on the 10-5 map3 of Neves et al. 2014 but was not positioned on our consensus map, NA - information not available."

MergeMarkerID,GeneSeqID,LG,LG_pos_cM,Pos_lCI,Pos_uCI,Delta_CIbounds,MarkerID,Marker_type,Seg_qtl-base1,Seg_qtl-base2,Seg_BC1,Seg_10-5,Aligned_scaff_ID,Aligned_genome_coord,Genome_pct_aligned,Genome_pct_ID,Aligned_transcript(Accession_Pending),ESTvTr_pctID,ESTvTr_alignlen,ESTvTr_evalue,ESTvTr_bitscore,Aligned_CDD,CDD_desc,Tr_CDD_pID,Tr_CDD_alignlen,Tr_CDD_evalue,Tr_CDD_bitscore,Aligned_AGI_prot,Prot_desc,Tr_AGI_pctID,Tr_AGI_alignlen,Tr_AGI_evalue,Tr_AGI_bitscore,MarkerAcc
0_6869,0_6869,1,0.32,0.2,0.44,0.24,0_6869_01_53,SNP,0,1,1,0,tscaffold3982,329200--328716,100,99.8,AP,100,485,0,875,CDD|211385,cd11299; O-FucT_plant; GDP-fucose protein O-fucosyltransferase; len=290,52.12,330,2.00E-153,443,AT1G04910.1,O-fucosyltransferase family protein,70.66,501,0,556,gb|CF394182.1
0_5119,0_5119,1,5.27,4.91,5.63,0.72,0_5119_PAV,PAV,0,0,0,1,C32331350,38544--38307,87.5,99.2,AP,98.16,272,1.00E-128,464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gb|DR110068.1
0_15011,0_15011,1,8.05,7.68,8.41,0.73,0_15011_02_197,SNP,0,1,1,1,tscaffold8114,27117--27797,99.4,98.8,AP,99.27,681,0,1205,CDD|214636,smart00360; RRM; RNA recognition motif; len=73,32.84,67,4.00E-13,64.9,AT2G44710.1,RNA-binding (RRM/RBD/RNP motifs) family protein,33.9,531,4.00E-72,246,gb|DR058020.1
CL343Contig1,CL343Contig1,1,8.84,7.57,10.12,2.55,CL343Contig1_01_134,SNP,0,1,0,0,tscaffold2781,71738--83645,99.6,98.2,AP,99.64,1110,0,1984,CDD|235496,PRK05518; rpl6p; 50S ribosomal protein L6P; len=180,37.77,188,2.00E-49,160,AT4G10450.1,Ribosomal protein L6 family,74.87,191,4.00E-55,176,gb|CX646690.1
0_16055,0_16055,1,8.94,8.6,9.28,0.68,0_16055_289,SNP,0,0,0,1,tscaffold3344,196713--195882,96.1,92.3,AP,98.32,714,0,1227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gb|DR110945.1
0_2760,0_2760,1,9.68,9.35,10.01,0.66,0_2760_146,SNP,0,0,0,1,tscaffold348,269843--270284,91.3,98.2,AP,99.66,294,3.00E-146,526,CDD|215095,PLN00191; Enolase; len=457,93.75,32,5.00E-21,83.6,AT2G36530.1,Enolase,93.75,32,6.00E-19,78.9,gb|CO158450.1
0_6605,0_6605,1,9.78,8.32,11.24,2.92,0_6605_01_537,SNP,0,1,0,0,tscaffold8915,133520--134415,100,99.5,AP,96.94,620,0,1034,NA,NA,NA,NA,NA,NA,AT2G27830.1,Uncharacterized protein,33.83,201,1.00E-24,98.3,gb|CF399359.1
0_13608,0_13608,1,10.65,9.1,12.21,3.11,0_13608_01_303,SNP,0,1,0,1,tscaffold7279,659931--659209,100,98.9,AP,98.62,724,0,1256,CDD|205222,pfam13041; PPR_2; PPR repeat family; len=50,22.92,48,1.00E-05,40.9,AT1G63130.1,Tetratricopeptide repeat (TPR)-like superfamily protein,21.64,134,2.00E-41,148,gb|DR119615.1
PtIFG_2530_2,PtIFG_2530,1,10.84,9.29,12.4,3.11,rflpPita_IFG_2530_2,RFLP,0,1,0,0,tscaffold7392,31370--28947,100,98.5,AP,99.02,205,2.00E-98,361,CDD|238449,cd00884; beta_CA_cladeB; Carbonic anhydrases (CA) are zinc-containing enzymes that; len=190,51.83,191,3.00E-95,281,AT5G14740.2,Carbonic anhydrase 2/ CA2,55.84,231,6.00E-89,268,gb|H75202
0_14269,0_14269,1,11,10.47,11.54,1.07,0_14269_183,SNP,0,0,0,1,tscaffold285,72358--72613,100,99.6,AP,99.61,256,1.00E-126,457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gb|DR181830.1
